Source,Target,Weight
'Marge Simpson','Homer Simpson',441
'Bart Simpson','Homer Simpson',438
'Lisa Simpson','Homer Simpson',402
'Bart Simpson','Marge Simpson',393
'Lisa Simpson','Bart Simpson',380
'Lisa Simpson','Marge Simpson',356
"'Charles Montgomery \""Monty\"" Burns'",'Homer Simpson',138
'Milhouse Van Houten','Bart Simpson',121
"'Charles Montgomery \""Monty\"" Burns'",'Marge Simpson',116
'Milhouse Van Houten','Homer Simpson',115
"'Charles Montgomery \""Monty\"" Burns'",'Bart Simpson',114
'Maggie Simpson','Homer Simpson',112
'Maggie Simpson','Marge Simpson',108
'Milhouse Van Houten','Marge Simpson',107
'Moe Szyslak','Homer Simpson',105
'Milhouse Van Houten','Lisa Simpson',104
"'Charles Montgomery \""Monty\"" Burns'",'Lisa Simpson',103
'Maggie Simpson','Bart Simpson',101
'Maggie Simpson','Lisa Simpson',100
'Principal Seymour Skinner','Bart Simpson',95
'Principal Seymour Skinner','Homer Simpson',93
'Ned Flanders','Homer Simpson',92
'Chief Clancy Wiggum','Homer Simpson',91
'Moe Szyslak','Marge Simpson',90
'Moe Szyslak','Bart Simpson',87
'Moe Szyslak','Lisa Simpson',87
'Principal Seymour Skinner','Lisa Simpson',84
'Principal Seymour Skinner','Marge Simpson',83
'Ned Flanders','Marge Simpson',80
'Carl Carlson','Homer Simpson',80
'Chief Clancy Wiggum','Marge Simpson',79
'Ned Flanders','Bart Simpson',79
'Chief Clancy Wiggum','Bart Simpson',78
'Selma Bouvier','Homer Simpson',77
'Chief Clancy Wiggum','Lisa Simpson',73
'Carl Carlson','Marge Simpson',72
'Selma Bouvier','Bart Simpson',71
'Ned Flanders','Lisa Simpson',70
'Selma Bouvier','Marge Simpson',68
'Selma Bouvier','Lisa Simpson',68
'Carl Carlson','Bart Simpson',65
'Carl Carlson','Lisa Simpson',63
'Waylon Smithers','Homer Simpson',60
'Barney Gumble','Homer Simpson',57
'Patty Bouvier','Homer Simpson',56
'Waylon Smithers',"'Charles Montgomery \""Monty\"" Burns'",53
'Patty Bouvier','Bart Simpson',51
'Barney Gumble','Marge Simpson',51
'Patty Bouvier','Marge Simpson',50
'Selma Bouvier','Patty Bouvier',49
"'Mayor \""Diamond Joe\"" Quimby'",'Homer Simpson',49
'Barney Gumble','Bart Simpson',47
'Apu Nahasapeemapetilon','Homer Simpson',46
'Patty Bouvier','Lisa Simpson',46
'Barney Gumble','Lisa Simpson',46
"'Mayor \""Diamond Joe\"" Quimby'",'Lisa Simpson',46
'Waylon Smithers','Bart Simpson',45
'Waylon Smithers','Marge Simpson',44
