Source,Target,Type,Weight
2,1,Undirected,441
3,1,Undirected,438
4,1,Undirected,402
3,2,Undirected,393
4,3,Undirected,380
4,2,Undirected,356
35,1,Undirected,138
46,3,Undirected,121
35,2,Undirected,116
46,1,Undirected,115
35,3,Undirected,114
5,1,Undirected,112
5,2,Undirected,108
46,2,Undirected,107
45,1,Undirected,105
46,4,Undirected,104
35,4,Undirected,103
5,3,Undirected,101
5,4,Undirected,100
42,3,Undirected,95
42,1,Undirected,93
36,1,Undirected,92
27,1,Undirected,91
45,2,Undirected,90
45,3,Undirected,87
45,4,Undirected,87
42,4,Undirected,84
42,2,Undirected,83
36,2,Undirected,80
55,1,Undirected,80
27,2,Undirected,79
36,3,Undirected,79
27,3,Undirected,78
34,1,Undirected,77
27,4,Undirected,73
55,2,Undirected,72
34,3,Undirected,71
36,4,Undirected,70
34,2,Undirected,68
34,4,Undirected,68
55,3,Undirected,65
55,4,Undirected,63
43,1,Undirected,60
38,1,Undirected,57
33,1,Undirected,56
43,35,Undirected,53
33,3,Undirected,51
38,2,Undirected,51
33,2,Undirected,50
34,33,Undirected,49
75,1,Undirected,49
38,3,Undirected,47
12,1,Undirected,46
33,4,Undirected,46
38,4,Undirected,46
75,4,Undirected,46
43,3,Undirected,45
43,2,Undirected,44
75,2,Undirected,44
75,3,Undirected,42
80,1,Undirected,41
41,3,Undirected,40
12,2,Undirected,39
41,1,Undirected,39
41,2,Undirected,38
43,4,Undirected,38
46,42,Undirected,38
55,35,Undirected,38
55,45,Undirected,38
9,1,Undirected,37
9,3,Undirected,37
80,3,Undirected,37
9,2,Undirected,36
80,4,Undirected,36
41,4,Undirected,35
12,3,Undirected,34
12,4,Undirected,32
45,35,Undirected,32
8,3,Undirected,31
9,4,Undirected,31
10,9,Undirected,30
50,1,Undirected,30
80,2,Undirected,30
8,1,Undirected,29
8,2,Undirected,29
9,8,Undirected,29
10,3,Undirected,29
35,5,Undirected,29
50,2,Undirected,29
8,4,Undirected,28
10,1,Undirected,28
10,2,Undirected,28
10,8,Undirected,28
11,1,Undirected,28
11,2,Undirected,28
45,27,Undirected,28
45,38,Undirected,28
46,35,Undirected,28
46,45,Undirected,28
11,3,Undirected,27
36,35,Undirected,27
45,5,Undirected,27
50,3,Undirected,27
50,4,Undirected,27
10,4,Undirected,26
11,4,Undirected,26
46,5,Undirected,26
46,34,Undirected,26
42,27,Undirected,25
27,5,Undirected,24
46,36,Undirected,24
91,3,Undirected,24
35,27,Undirected,23
45,34,Undirected,23
91,4,Undirected,23
92,1,Undirected,23
38,35,Undirected,22
45,42,Undirected,22
46,27,Undirected,22
55,46,Undirected,22
58,3,Undirected,22
58,4,Undirected,22
91,1,Undirected,22
91,2,Undirected,21
92,2,Undirected,21
34,5,Undirected,20
45,43,Undirected,20
58,1,Undirected,20
58,42,Undirected,20
92,3,Undirected,20
36,27,Undirected,19
45,36,Undirected,19
55,27,Undirected,19
55,38,Undirected,19
13,3,Undirected,18
36,5,Undirected,18
42,5,Undirected,18
42,34,Undirected,18
45,12,Undirected,18
46,33,Undirected,18
55,5,Undirected,18
55,34,Undirected,18
13,1,Undirected,17
55,43,Undirected,17
75,46,Undirected,17
92,4,Undirected,17
27,12,Undirected,16
38,5,Undirected,16
38,27,Undirected,16
42,36,Undirected,16
58,2,Undirected,16
13,4,Undirected,15
36,34,Undirected,15
42,9,Undirected,15
44,3,Undirected,15
44,4,Undirected,15
45,33,Undirected,15
46,9,Undirected,15
75,35,Undirected,15
13,2,Undirected,14
33,5,Undirected,14
34,27,Undirected,14
42,35,Undirected,14
43,42,Undirected,14
44,1,Undirected,14
45,9,Undirected,14
46,12,Undirected,14
75,42,Undirected,14
27,9,Undirected,13
35,34,Undirected,13
36,11,Undirected,13
38,34,Undirected,13
41,5,Undirected,13
42,38,Undirected,13
43,5,Undirected,13
45,41,Undirected,13
46,41,Undirected,13
50,35,Undirected,13
75,27,Undirected,13
80,35,Undirected,13
9,5,Undirected,12
29,1,Undirected,12
29,2,Undirected,12
35,12,Undirected,12
36,33,Undirected,12
38,12,Undirected,12
41,35,Undirected,12
42,8,Undirected,12
42,10,Undirected,12
42,12,Undirected,12
43,27,Undirected,12
44,2,Undirected,12
45,8,Undirected,12
46,38,Undirected,12
55,33,Undirected,12
55,36,Undirected,12
55,42,Undirected,12
70,1,Undirected,12
75,45,Undirected,12
80,5,Undirected,12
80,45,Undirected,12
21,1,Undirected,11
29,3,Undirected,11
29,4,Undirected,11
42,33,Undirected,11
45,10,Undirected,11
46,8,Undirected,11
46,10,Undirected,11
55,41,Undirected,11
70,3,Undirected,11
70,4,Undirected,11
75,34,Undirected,11
80,34,Undirected,11
80,42,Undirected,11
80,46,Undirected,11
12,5,Undirected,10
21,3,Undirected,10
21,4,Undirected,10
42,41,Undirected,10
46,43,Undirected,10
70,2,Undirected,10
75,5,Undirected,10
75,55,Undirected,10
80,27,Undirected,10
92,35,Undirected,10
