Id,label,flag,gender
1,'Homer Simpson',1,m
2,'Marge Simpson',1,f
3,'Bart Simpson',1,m
4,'Lisa Simpson',1,f
5,'Maggie Simpson',1,f
92,'Grampa Abraham Simpson',1,m
8,'Dolph Starbeam',1,m
9,'Jimbo Jones',1,m
10,'Kearney Zzyzwicz',1,m
11,'Reverend Timothy Lovejoy',1,m
12,'Apu Nahasapeemapetilon',1,m
13,'Sideshow Bob',1,m
21,'Jasper Beardly',1,m
27,'Chief Clancy Wiggum',1,m
29,'Lionel Hutz',1,m
30,'Dr. Nick Riveria',1,m
33,'Patty Bouvier',1,f
34,'Selma Bouvier',1,f
35,"'Charles Montgomery \""Monty\"" Burns'",1,m
36,'Ned Flanders',1,m
37,'Todd Flanders',1,m
38,'Barney Gumble',1,m
41,'Santa\'s Little Helper',1,m
42,'Principal Seymour Skinner',1,m
43,'Waylon Smithers',1,m
44,'Snowball',1,f
45,'Moe Szyslak',1,m
46,'Milhouse Van Houten',1,m
47,'Jacqueline Bouvier',1,f
50,'Kent Brockman',1,m
53,'Bumblebee Man',1,m
55,'Carl Carlson',1,m
58,'Superintendent Gary Chalmers',1,m
60,'Mrs. Glick',1,f
66,'Duffman',1,m
70,'The Rich Texan',1,m
75,"'Mayor \""Diamond Joe\"" Quimby'",1,m
80,'Professor John Frink',1,m
88,'Gil Gunderson',1,m
91,'Itchy and Scratchy',1,m
6,'Akira',0,m
7,'Ms. Albright',0,#N/A
14,'Jebediah Springfield',0,0
15,'Aristotle Amadopolis',0,#N/A
16,'Luann Van Houten',0,f
17,'Atkins,0,#N/A
18,'Mary Bailey',0,0
19,'Dave Shutton',0,0
20,"'Birchibald \""Birch\"" T. Barlow'",0,#N/A
22,'Benjamin,0,0
23,'Bill and Marty',0,#N/A
24,'Blinky',0,#N/A
25,'Otto Mann',0,m
26,'Sherri and Terri',0,#N/A
28,'Blue Haired Lawyer',0,#N/A
31,'Boobarella',0,#N/A
32,'Wendell Borton',0,#N/A
39,'Dewey Largo',0,m
40,'Lewis Jackson',0,#N/A
