symbol,datekey,close,previous_close,direction,company_name,sector,PE_Ratio,PE_Ratio_(Forward),Div_Yield,Market_Cap,Avg_Daily_Volume
A,12/3/2020,113.580002,NA,Same,Agilent Technologies Inc,Health Care,51.86087,28.742168,0.006051946,36499681280,1491112
A,12/4/2020,115.150002,113.580002,Same,Agilent Technologies Inc,Health Care,51.86087,28.742168,0.006051946,36499681280,1491112
A,12/7/2020,114.400002,115.150002,Same,Agilent Technologies Inc,Health Care,51.86087,28.742168,0.006051946,36499681280,1491112
A,12/8/2020,117.010002,114.400002,Same,Agilent Technologies Inc,Health Care,51.86087,28.742168,0.006051946,36499681280,1491112
A,12/9/2020,116.400002,117.010002,Same,Agilent Technologies Inc,Health Care,51.86087,28.742168,0.006051946,36499681280,1491112
A,12/10/2020,118.809998,116.400002,Same,Agilent Technologies Inc,Health Care,51.86087,28.742168,0.006051946,36499681280,1491112
A,12/11/2020,118.480003,118.809998,Same,Agilent Technologies Inc,Health Care,51.86087,28.742168,0.006051946,36499681280,1491112
A,12/14/2020,116.739998,118.480003,Same,Agilent Technologies Inc,Health Care,51.86087,28.742168,0.006051946,36499681280,1491112
A,12/15/2020,117.389999,116.739998,Same,Agilent Technologies Inc,Health Care,51.86087,28.742168,0.006051946,36499681280,1491112
A,12/16/2020,117.239998,117.389999,Same,Agilent Technologies Inc,Health Care,51.86087,28.742168,0.006051946,36499681280,1491112
AAL,12/3/2020,16.09,NA,Same,American Airlines Group,Industrials,NA,-3.0302942,0.011904763,10068488192,75356882
AAL,12/4/2020,16.4,16.09,Same,American Airlines Group,Industrials,NA,-3.0302942,0.011904763,10068488192,75356882
AAL,12/7/2020,17.209999,16.4,Up,American Airlines Group,Industrials,NA,-3.0302942,0.011904763,10068488192,75356882
AAL,12/8/2020,17.629999,17.209999,Same,American Airlines Group,Industrials,NA,-3.0302942,0.011904763,10068488192,75356882
AAL,12/9/2020,17.16,17.629999,Same,American Airlines Group,Industrials,NA,-3.0302942,0.011904763,10068488192,75356882
AAL,12/10/2020,17.99,17.16,Up,American Airlines Group,Industrials,NA,-3.0302942,0.011904763,10068488192,75356882
AAL,12/11/2020,17.049999,17.99,Down,American Airlines Group,Industrials,NA,-3.0302942,0.011904763,10068488192,75356882
AAL,12/14/2020,16.700001,17.049999,Same,American Airlines Group,Industrials,NA,-3.0302942,0.011904763,10068488192,75356882
AAL,12/15/2020,17.01,16.700001,Same,American Airlines Group,Industrials,NA,-3.0302942,0.011904763,10068488192,75356882
AAL,12/16/2020,16.860001,17.01,Same,American Airlines Group,Industrials,NA,-3.0302942,0.011904763,10068488192,75356882
AAP,12/3/2020,150.139999,NA,Same,Advance Auto Parts,Consumer Discretionary,23.425535,16.937895,0.005051765,10918467584,903221
AAP,12/4/2020,152.470001,150.139999,Same,Advance Auto Parts,Consumer Discretionary,23.425535,16.937895,0.005051765,10918467584,903221
AAP,12/7/2020,153.679993,152.470001,Same,Advance Auto Parts,Consumer Discretionary,23.425535,16.937895,0.005051765,10918467584,903221
AAP,12/8/2020,152.779999,153.679993,Same,Advance Auto Parts,Consumer Discretionary,23.425535,16.937895,0.005051765,10918467584,903221
AAP,12/9/2020,157.949997,152.779999,Up,Advance Auto Parts,Consumer Discretionary,23.425535,16.937895,0.005051765,10918467584,903221
AAP,12/10/2020,158.220001,157.949997,Same,Advance Auto Parts,Consumer Discretionary,23.425535,16.937895,0.005051765,10918467584,903221
AAP,12/11/2020,157.660004,158.220001,Same,Advance Auto Parts,Consumer Discretionary,23.425535,16.937895,0.005051765,10918467584,903221
AAP,12/14/2020,157.559998,157.660004,Same,Advance Auto Parts,Consumer Discretionary,23.425535,16.937895,0.005051765,10918467584,903221
AAP,12/15/2020,159.839996,157.559998,Same,Advance Auto Parts,Consumer Discretionary,23.425535,16.937895,0.005051765,10918467584,903221
AAP,12/16/2020,161.320007,159.839996,Same,Advance Auto Parts,Consumer Discretionary,23.425535,16.937895,0.005051765,10918467584,903221
AAPL,12/3/2020,122.940002,NA,Same,Apple Inc.,Information Technology,38.920734,29.414747,0.006177156,2.17045E+12,121687500
AAPL,12/4/2020,122.25,122.940002,Same,Apple Inc.,Information Technology,38.920734,29.414747,0.006177156,2.17045E+12,121687500
AAPL,12/7/2020,123.75,122.25,Same,Apple Inc.,Information Technology,38.920734,29.414747,0.006177156,2.17045E+12,121687500
AAPL,12/8/2020,124.379997,123.75,Same,Apple Inc.,Information Technology,38.920734,29.414747,0.006177156,2.17045E+12,121687500
AAPL,12/9/2020,121.779999,124.379997,Same,Apple Inc.,Information Technology,38.920734,29.414747,0.006177156,2.17045E+12,121687500
AAPL,12/10/2020,123.239998,121.779999,Same,Apple Inc.,Information Technology,38.920734,29.414747,0.006177156,2.17045E+12,121687500
AAPL,12/11/2020,122.410004,123.239998,Same,Apple Inc.,Information Technology,38.920734,29.414747,0.006177156,2.17045E+12,121687500
AAPL,12/14/2020,121.779999,122.410004,Same,Apple Inc.,Information Technology,38.920734,29.414747,0.006177156,2.17045E+12,121687500
AAPL,12/15/2020,127.879997,121.779999,Up,Apple Inc.,Information Technology,38.920734,29.414747,0.006177156,2.17045E+12,121687500
AAPL,12/16/2020,127.809998,127.879997,Same,Apple Inc.,Information Technology,38.920734,29.414747,0.006177156,2.17045E+12,121687500
ABBV,12/3/2020,104.739998,NA,Same,AbbVie Inc.,Health Care,22.753717,8.534044,0.04499952,1.83595E+11,8369229
ABBV,12/4/2020,107.279999,104.739998,Same,AbbVie Inc.,Health Care,22.753717,8.534044,0.04499952,1.83595E+11,8369229
ABBV,12/7/2020,105.839996,107.279999,Same,AbbVie Inc.,Health Care,22.753717,8.534044,0.04499952,1.83595E+11,8369229
ABBV,12/8/2020,107.690002,105.839996,Same,AbbVie Inc.,Health Care,22.753717,8.534044,0.04499952,1.83595E+11,8369229
ABBV,12/9/2020,108.669998,107.690002,Same,AbbVie Inc.,Health Care,22.753717,8.534044,0.04499952,1.83595E+11,8369229
ABBV,12/10/2020,107.489998,108.669998,Same,AbbVie Inc.,Health Care,22.753717,8.534044,0.04499952,1.83595E+11,8369229
ABBV,12/11/2020,106.339996,107.489998,Same,AbbVie Inc.,Health Care,22.753717,8.534044,0.04499952,1.83595E+11,8369229
ABBV,12/14/2020,104.199997,106.339996,Same,AbbVie Inc.,Health Care,22.753717,8.534044,0.04499952,1.83595E+11,8369229
ABBV,12/15/2020,102.82,104.199997,Same,AbbVie Inc.,Health Care,22.753717,8.534044,0.04499952,1.83595E+11,8369229
ABBV,12/16/2020,104.639999,102.82,Same,AbbVie Inc.,Health Care,22.753717,8.534044,0.04499952,1.83595E+11,8369229
ABC,12/3/2020,101.5,NA,Same,AmerisourceBergen Corp,Health Care,NA,10.776922,0.016811829,20030797824,969895
ABC,12/4/2020,102.980003,101.5,Same,AmerisourceBergen Corp,Health Care,NA,10.776922,0.016811829,20030797824,969895
ABC,12/7/2020,99.489998,102.980003,Down,AmerisourceBergen Corp,Health Care,NA,10.776922,0.016811829,20030797824,969895
ABC,12/8/2020,100.43,99.489998,Same,AmerisourceBergen Corp,Health Care,NA,10.776922,0.016811829,20030797824,969895
ABC,12/9/2020,101.110001,100.43,Same,AmerisourceBergen Corp,Health Care,NA,10.776922,0.016811829,20030797824,969895
ABC,12/10/2020,99.370003,101.110001,Same,AmerisourceBergen Corp,Health Care,NA,10.776922,0.016811829,20030797824,969895
ABC,12/11/2020,98.059998,99.370003,Same,AmerisourceBergen Corp,Health Care,NA,10.776922,0.016811829,20030797824,969895
ABC,12/14/2020,97.120003,98.059998,Same,AmerisourceBergen Corp,Health Care,NA,10.776922,0.016811829,20030797824,969895
ABC,12/15/2020,99.029999,97.120003,Same,AmerisourceBergen Corp,Health Care,NA,10.776922,0.016811829,20030797824,969895
ABC,12/16/2020,98.370003,99.029999,Same,AmerisourceBergen Corp,Health Care,NA,10.776922,0.016811829,20030797824,969895
ABMD,12/3/2020,266.839996,NA,Same,ABIOMED Inc,Health Care,61.487907,55.181454,NA,12642778112,283592
ABMD,12/4/2020,272.609985,266.839996,Same,ABIOMED Inc,Health Care,61.487907,55.181454,NA,12642778112,283592
ABMD,12/7/2020,271.880005,272.609985,Same,ABIOMED Inc,Health Care,61.487907,55.181454,NA,12642778112,283592
ABMD,12/8/2020,273.640015,271.880005,Same,ABIOMED Inc,Health Care,61.487907,55.181454,NA,12642778112,283592
ABMD,12/9/2020,266.149994,273.640015,Same,ABIOMED Inc,Health Care,61.487907,55.181454,NA,12642778112,283592
ABMD,12/10/2020,267.929993,266.149994,Same,ABIOMED Inc,Health Care,61.487907,55.181454,NA,12642778112,283592
ABMD,12/11/2020,258.450012,267.929993,Down,ABIOMED Inc,Health Care,61.487907,55.181454,NA,12642778112,283592
ABMD,12/14/2020,267.619995,258.450012,Up,ABIOMED Inc,Health Care,61.487907,55.181454,NA,12642778112,283592
ABMD,12/15/2020,275.359985,267.619995,Same,ABIOMED Inc,Health Care,61.487907,55.181454,NA,12642778112,283592
ABMD,12/16/2020,274.140015,275.359985,Same,ABIOMED Inc,Health Care,61.487907,55.181454,NA,12642778112,283592
ABT,12/3/2020,107.529999,NA,Same,Abbott Laboratories,Health Care,57.112637,24.545454,0.013237728,1.91415E+11,5057929
ABT,12/4/2020,107.900002,107.529999,Same,Abbott Laboratories,Health Care,57.112637,24.545454,0.013237728,1.91415E+11,5057929
ABT,12/7/2020,107.18,107.900002,Same,Abbott Laboratories,Health Care,57.112637,24.545454,0.013237728,1.91415E+11,5057929
ABT,12/8/2020,106.800003,107.18,Same,Abbott Laboratories,Health Care,57.112637,24.545454,0.013237728,1.91415E+11,5057929
ABT,12/9/2020,106.32,106.800003,Same,Abbott Laboratories,Health Care,57.112637,24.545454,0.013237728,1.91415E+11,5057929
ABT,12/10/2020,106.519997,106.32,Same,Abbott Laboratories,Health Care,57.112637,24.545454,0.013237728,1.91415E+11,5057929
ABT,12/11/2020,107.019997,106.519997,Same,Abbott Laboratories,Health Care,57.112637,24.545454,0.013237728,1.91415E+11,5057929
ABT,12/14/2020,106.790001,107.019997,Same,Abbott Laboratories,Health Care,57.112637,24.545454,0.013237728,1.91415E+11,5057929
ABT,12/15/2020,107.449997,106.790001,Same,Abbott Laboratories,Health Care,57.112637,24.545454,0.013237728,1.91415E+11,5057929
ABT,12/16/2020,107.339996,107.449997,Same,Abbott Laboratories,Health Care,57.112637,24.545454,0.013237728,1.91415E+11,5057929
ACN,12/3/2020,249.929993,NA,Same,Accenture plc,Information Technology,31.906696,28.833147,0.012704655,1.71743E+11,2006196
ACN,12/4/2020,253.440002,249.929993,Same,Accenture plc,Information Technology,31.906696,28.833147,0.012704655,1.71743E+11,2006196
