symbol,company_name,sector,begin_20201201_price,end_20201211_price,percent_change,rank
OXY,Occidental Petroleum,Energy,15.13,20.889999,0.380700529,1
APA,Apache Corporation,Energy,12.37,16.1,0.301535974,2
FANG,Diamondback Energy,Energy,39.849998,50.110001,0.257465584,3
MRO,Marathon Oil Corp.,Energy,5.86,7.06,0.204778157,4
AAL,American Airlines Group,Industrials,14.27,17.049999,0.194814226,5
HES,Hess Corporation,Energy,47.759998,56.630001,0.185720339,6
NLSN,Nielsen Holdings,Industrials,16.129999,19.1,0.184129026,7
BKR,Baker Hughes Co,Energy,19.23,22.67,0.178887155,8
DIS,The Walt Disney Company,Communication Services,149.440002,175.720001,0.175856522,9
HAL,Halliburton Co.,Energy,17.08,19.83,0.161007026,10
PXD,Pioneer Natural Resources,Energy,99.800003,115.57,0.158015997,11
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,22.940001,26.51,0.155623315,12
DVN,Devon Energy,Energy,14,16.16,0.154285714,13
PVH,PVH Corp.,Consumer Discretionary,81.800003,94.330002,0.153178466,14
EOG,EOG Resources,Energy,46.529999,53.599998,0.151944964,15
RL,Ralph Lauren Corporation,Consumer Discretionary,88.620003,101.339996,0.143534107,16
NTAP,NetApp,Information Technology,54.16,61.82,0.141432792,17
OKE,ONEOK,Energy,36.470001,41.57,0.139840934,18
XOM,Exxon Mobil Corp.,Energy,38.5,43.799999,0.137662312,19
HFC,HollyFrontier Corp,Energy,24.18,27.48,0.136476427,20
NOV,National Oilwell Varco Inc.,Energy,12.7,14.32,0.127559055,21
EFX,Equifax Inc.,Industrials,166.940002,188.139999,0.126991714,22
PSX,Phillips 66,Energy,61.880001,69.510002,0.123303182,23
FTI,TechnipFMC,Energy,8.62,9.67,0.121809745,24
FE,FirstEnergy Corp,Utilities,27.17,30.379999,0.118144976,25
IRM,Iron Mountain Incorporated,Real Estate,27.24,30.379999,0.115271623,26
HWM,Howmet Aerospace,Industrials,23.77,26.43,0.111905764,27
CXO,Concho Resources,Energy,56.91,63.27,0.111755403,28
COP,ConocoPhillips,Energy,39.27,43.48,0.107206519,29
PM,Philip Morris International,Consumer Staples,77.029999,85,0.103466196,30
TWTR,Twitter Inc.,Communication Services,46.669998,51.439999,0.102207011,31
GE,General Electric,Industrials,10.15,11.16,0.099507389,32
LLY,Lilly (Eli) & Co.,Health Care,145.559998,160.039993,0.099477846,33
WY,Weyerhaeuser,Real Estate,29.27,32,0.093269559,34
FLS,Flowserve Corporation,Industrials,33.959999,37.09,0.092167288,35
SLB,Schlumberger Ltd.,Energy,21.07,22.940001,0.088751827,36
BEN,Franklin Resources,Financials,22.360001,24.33,0.088103708,37
EMR,Emerson Electric Company,Industrials,75.769997,82.419998,0.087765623,38
MPC,Marathon Petroleum,Energy,39.450001,42.91,0.087705929,39
VLO,Valero Energy,Energy,54.400002,59.029999,0.085110236,40
IVZ,Invesco Ltd.,Financials,16.459999,17.860001,0.085054805,41
WYNN,Wynn Resorts Ltd,Consumer Discretionary,102.360001,110.980003,0.084212602,42
BA,Boeing Company,Industrials,213.009995,230.330002,0.081310771,43
DXC,DXC Technology,Information Technology,22.139999,23.93,0.080849191,44
WDC,Western Digital,Information Technology,47.27,51.09,0.080812355,45
HII,Huntington Ingalls Industries,Industrials,164.419998,177.699997,0.080768758,46
WBA,Walgreens Boots Alliance,Consumer Staples,38.459999,41.529999,0.079823195,47
HSIC,Henry Schein,Health Care,64.910004,69.949997,0.077645859,48
NLOK,NortonLifeLock,Information Technology,18.23,19.59,0.074602304,49
STX,Seagate Technology,Information Technology,60.290001,64.760002,0.074141664,50
T,AT&T Inc.,Communication Services,28.870001,31.01,0.074125352,51
CBRE,CBRE Group,Real Estate,61.639999,66.150002,0.073166825,52
HPE,Hewlett Packard Enterprise,Information Technology,11.2,11.99,0.070535714,53
HOLX,Hologic,Health Care,69.629997,74.32,0.067356071,54
EA,Electronic Arts,Communication Services,127.239998,135.800003,0.067274482,55
UAL,United Airlines Holdings,Industrials,45.32,48.360001,0.067078575,56
