node,gender
600,F
601,M
602,M
603,F
605,F
606,F
607,F
609,F
610,M
611,F
612,F
613,F
614,M
615,F
616,F
617,F
618,M
619,M
620,F
621,F
622,M
623,M
624,M
626,F
627,F
628,M
629,F
633,M
634,M
635,F
636,F
638,F
641,F
643,F
644,M
646,M
647,M
648,F
649,F
650,F
651,F
652,M
654,F
655,M
656,F
658,F
660,F
661,M
662,M
663,M
664,F
665,M
666,M
667,M
668,M
669,M
674,F
676,M
677,M
678,F
681,F
682,F
683,M
684,M
685,F
686,F
687,F
689,M
690,F
691,F
692,F
694,M
695,F
696,F
698,F
699,F
802,F
803,F
804,M
806,M
807,F
809,F
810,M
812,M
813,M
814,F
815,M
817,M
819,M
821,F
822,F
823,M
824,M
825,M
826,M
827,M
828,F
829,M
830,M
831,F
832,M
833,M
834,F
836,M
838,M
841,F
843,F
845,F
847,F
848,F
849,F
851,F
852,M
853,F
854,F
855,M
856,M
857,M
858,F
860,F
862,F
863,F
864,F
865,F
866,M
867,F
868,F
869,F
871,F
873,F
875,F
880,F
881,M
882,F
883,M
884,M
886,M
887,M
888,M
889,F
890,F
891,F
892,F
893,F
894,F
895,F
896,F
897,M
898,M
1108,M
1144,F
1148,M
1164,M
1170,F
1181,F
1190,M
1492,M
1601,F
1613,F
1618,F
1622,F
1628,F
1629,F
1632,M
1644,M
1645,M
1649,F
1651,M
1657,M
1658,M
1660,F
1662,F
1667,M
1671,M
1672,F
1674,M
1678,M
1679,M
1686,F
1856,M
