symbol,datekey,close,previous_close,percent_diff,direction,company_name,sector
A,d1,101.120003,100.419998,0.0070,Same,Agilent Technologies Inc,Health Care
A,d2,103.419998,101.120003,0.0227,Same,Agilent Technologies Inc,Health Care
A,d3,99.639999,103.419998,-0.0365,Down,Agilent Technologies Inc,Health Care
A,d4,96.839996,99.639999,-0.0281,Same,Agilent Technologies Inc,Health Care
A,d8,95.139999,96.839996,-0.0176,Same,Agilent Technologies Inc,Health Care
A,d9,97.93,95.139999,0.0293,Same,Agilent Technologies Inc,Health Care
A,d10,98.57,97.93,0.0065,Same,Agilent Technologies Inc,Health Care
A,d11,98.599998,98.57,0.0003,Same,Agilent Technologies Inc,Health Care
A,d14,99.419998,98.599998,0.0083,Same,Agilent Technologies Inc,Health Care
A,d15,100.370003,99.419998,0.0096,Same,Agilent Technologies Inc,Health Care
A,d16,99.919998,100.370003,-0.0045,Same,Agilent Technologies Inc,Health Care
A,d17,99.599998,99.919998,-0.0032,Same,Agilent Technologies Inc,Health Care
A,d18,99.379997,99.599998,-0.0022,Same,Agilent Technologies Inc,Health Care
A,d21,98.129997,99.379997,-0.0126,Same,Agilent Technologies Inc,Health Care
A,d22,98.620003,98.129997,0.0050,Same,Agilent Technologies Inc,Health Care
A,d23,96.910004,98.620003,-0.0173,Same,Agilent Technologies Inc,Health Care
A,d24,96.339996,96.910004,-0.0059,Same,Agilent Technologies Inc,Health Care
A,d25,97.690002,96.339996,0.0140,Same,Agilent Technologies Inc,Health Care
A,d28,99.510002,97.690002,0.0186,Same,Agilent Technologies Inc,Health Care
A,d29,100.220001,99.510002,0.0071,Same,Agilent Technologies Inc,Health Care
A,d30,100.940002,100.220001,0.0072,Same,Agilent Technologies Inc,Health Care
AAL,d1,13.1,13.05,0.0038,Same,American Airlines Group,Industrials
AAL,d2,13.23,13.1,0.0099,Same,American Airlines Group,Industrials
AAL,d3,13.36,13.23,0.0098,Same,American Airlines Group,Industrials
AAL,d4,13.61,13.36,0.0187,Same,American Airlines Group,Industrials
AAL,d8,13.63,13.61,0.0015,Same,American Airlines Group,Industrials
AAL,d9,13.05,13.63,-0.0426,Down,American Airlines Group,Industrials
AAL,d10,13.01,13.05,-0.0031,Same,American Airlines Group,Industrials
AAL,d11,12.95,13.01,-0.0046,Same,American Airlines Group,Industrials
AAL,d14,13.26,12.95,0.0239,Same,American Airlines Group,Industrials
AAL,d15,13.14,13.26,-0.0090,Same,American Airlines Group,Industrials
AAL,d16,13.8,13.14,0.0502,Up,American Airlines Group,Industrials
AAL,d17,13.63,13.8,-0.0123,Same,American Airlines Group,Industrials
AAL,d18,13.19,13.63,-0.0323,Down,American Airlines Group,Industrials
AAL,d21,12.21,13.19,-0.0743,Down,American Airlines Group,Industrials
AAL,d22,12.34,12.21,0.0106,Same,American Airlines Group,Industrials
AAL,d23,11.93,12.34,-0.0332,Down,American Airlines Group,Industrials
AAL,d24,11.77,11.93,-0.0134,Same,American Airlines Group,Industrials
AAL,d25,12.29,11.77,0.0442,Up,American Airlines Group,Industrials
AAL,d28,12.76,12.29,0.0382,Up,American Airlines Group,Industrials
AAL,d29,12.25,12.76,-0.0400,Down,American Airlines Group,Industrials
AAL,d30,12.29,12.25,0.0033,Same,American Airlines Group,Industrials
AAP,d1,156.389999,156.309998,0.0005,Same,Advance Auto Parts,Consumer Discretionary
AAP,d2,158.100006,156.389999,0.0109,Same,Advance Auto Parts,Consumer Discretionary
AAP,d3,155.179993,158.100006,-0.0185,Same,Advance Auto Parts,Consumer Discretionary
AAP,d4,153.75,155.179993,-0.0092,Same,Advance Auto Parts,Consumer Discretionary
AAP,d8,151.729996,153.75,-0.0131,Same,Advance Auto Parts,Consumer Discretionary
AAP,d9,154.350006,151.729996,0.0173,Same,Advance Auto Parts,Consumer Discretionary
AAP,d10,153.559998,154.350006,-0.0051,Same,Advance Auto Parts,Consumer Discretionary
AAP,d11,154.589996,153.559998,0.0067,Same,Advance Auto Parts,Consumer Discretionary
AAP,d14,157.309998,154.589996,0.0176,Same,Advance Auto Parts,Consumer Discretionary
